TT	Tên trường hợp sử dụng	Tác nhân chính	Tác nhân phụ	Mức độ cần thiết	Độ phức tạp	Giao dịch (Transaction)
						Người dùng sửa dữ liệu danh mục công việc và nhấn lưu. Hệ thống kiểm tra dữ liệu nhập, nếu hợp lệ, lưu vào CSDL, nếu không hợp lệ yêu cầu người dùng nhập lại và hiển thị lỗi.
						Người dùng có thể Xóa Danh mục công việc, hệ thống hiển thị pop up xác thực, người dùng xác thực và xóa Danh mục công việc
27	Quản lý Lịch sử chăm sóc	Người dùng		B	Phức tạp	Người dùng chọn Lịch sử chăm sóc, hệ thống truy vấn CSDL và Hệ thống hiển thị giao diện và dữ liệu của người dùng
						Người dùng có thể Lọc lịch sử chăm sóc theo thời gian. Hệ thống truy vấn cơ sở dữ liệu và hiển thị kết quả cho người dùng
						Người dùng có Tìm kiếm Lịch sử chăm sóc theo danh mục công việc, hệ thống truy vấn và trả về dữ liệu Tìm kiếm
						Người dùng có thể Thêm Lịch sử chăm sóc mới bằng cách chọn thêm danh mục, hệ thống hiển thị giao diện nhập dữ liệu.
						Người dùng nhập thông tin lịch sử chăm sóc và nhấn lưu. Hệ thống kiểm tra dữ liệu nhập, nếu hợp lệ, lưu vào CSDL, nếu không hợp lệ yêu cầu người dùng nhập lại và hiển thị lỗi.
						Người dùng có thể Sửa Lịch sử chăm sóc mới bằng cách chọn sửa danh mục đã chọn, hệ thống hiển thị giao diện sửa dữ liệu.
						Người dùng sửa lại dữ liệu lịch sử chăm sóc và nhấn lưu. Hệ thống kiểm tra dữ liệu nhập, nếu hợp lệ, lưu vào CSDL, nếu không hợp lệ yêu cầu người dùng nhập lại và hiển thị lỗi.
						Người dùng có thể Xóa Lịch sử chăm sóc, hệ thống hiển thị pop up xác thực, người dùng xác thực và xóa Lịch sử chăm sóc
28	Quản lý Sản phẩm sử dụng	Người dùng		B	Phức tạp	Người dùng chọn Sản phẩm sử dụng, hệ thống truy vấn CSDL và Hệ thống hiển thị giao diện và dữ liệu của người dùng
						Người dùng có thể Lọc Sản phẩm sử dụng theo loại. Hệ thống truy vấn cơ sở dữ liệu và hiển thị kết quả cho người dùng
						Người dùng có Tìm kiếm Sản phẩm sử dụng theo danh mục công việc, hệ thống truy vấn và trả về dữ liệu Tìm kiếm
						Người dùng có thể Thêm Sản phẩm sử dụng mới bằng cách chọn thêm danh mục, hệ thống hiển thị giao diện nhập dữ liệu.
						Người dùng nhập thông tin Sản phẩm sử dụng và nhấn lưu. Hệ thống kiểm tra dữ liệu nhập, nếu hợp lệ, lưu vào CSDL, nếu không hợp lệ yêu cầu người dùng nhập lại và hiển thị lỗi.
						Người dùng có thể Sửa Sản phẩm sử dụng mới bằng cách chọn sửa danh mục đã chọn, hệ thống hiển thị giao diện sửa dữ liệu.
						Người dùng sửa lại dữ liệu Sản phẩm sử dụng và nhấn lưu. Hệ thống kiểm tra dữ liệu nhập, nếu hợp lệ, lưu vào CSDL, nếu không hợp lệ yêu cầu người dùng nhập lại và hiển thị lỗi.
						Người dùng có thể Xóa Sản phẩm sử dụng, hệ thống hiển thị pop up xác thực, người dùng xác thực và xóa Sản phẩm sử dụng
29	Quản lý Quy trình chăm sóc	Người dùng		B	Phức tạp	Người dùng chọn Quy trình chăm sóc, hệ thống truy vấn CSDL và Hệ thống hiển thị giao diện và dữ liệu của người dùng
						Người dùng có thể Lọc Quy trình chăm sóc theo loại cây trồng. Hệ thống truy vấn cơ sở dữ liệu và hiển thị kết quả cho người dùng
						Người dùng có Tìm kiếm Quy trình chăm sóc theo danh mục công việc, hệ thống truy vấn và trả về dữ liệu Tìm kiếm
						Người dùng có thể Thêm Quy trình chăm sóc mới bằng cách chọn thêm danh mục, hệ thống hiển thị giao diện nhập dữ liệu.
						Người dùng nhập thông tin Quy trình chăm sóc và nhấn lưu. Hệ thống kiểm tra dữ liệu nhập, nếu hợp lệ, lưu vào CSDL, nếu không hợp lệ yêu cầu người dùng nhập lại và hiển thị lỗi.
						Người dùng có thể Sửa Quy trình chăm sóc mới bằng cách chọn sửa danh mục đã chọn, hệ thống hiển thị giao diện sửa dữ liệu.
						Người dùng sửa lại dữ liệu Quy trình chăm sóc và nhấn lưu. Hệ thống kiểm tra dữ liệu nhập, nếu hợp lệ, lưu vào CSDL, nếu không hợp lệ yêu cầu người dùng nhập lại và hiển thị lỗi.
						Người dùng có thể Xóa Quy trình chăm sóc, hệ thống hiển thị pop up xác thực, người dùng xác thực và xóa Quy trình chăm sóc
2. Hệ thống website
